ds,yhat,yhat_lower,yhat_upper
2023-01-01,49.12837638194682,41.96947695066756,56.80790748028829
2023-01-02,47.88534119693463,40.254678438904236,55.297030091274266
2023-01-03,47.71374979861822,40.085232350898615,54.70875115400254
2023-01-04,48.208068280053205,40.23076184618971,56.010499854041036
2023-01-05,49.154127883953386,41.79800607513589,56.45708934074543
2023-01-06,48.725756631055404,41.28499104494173,56.15731986398045
2023-01-07,48.73952366859466,42.11786004050579,56.630895313420844
2023-01-08,49.30951575566328,42.49651364507717,57.33312757855478
2023-01-09,48.066480570651116,41.058344907227365,55.427127735154954
2023-01-10,47.89488917233529,40.08715127967741,55.48291547569554
2023-01-11,48.389207653768096,40.82848030637859,55.673890028963214
2023-01-12,49.33526725766896,41.77657190409674,56.61405402830922
2023-01-13,48.90689600477129,41.31287293429459,55.5379785404646
2023-01-14,48.92066304231356,41.83951307095341,56.770521843568694
2023-01-15,49.49065512938073,42.08581284969163,57.06772938376329
2023-01-16,48.24761994437268,40.748834531239,55.557169907879214
2023-01-17,48.07602854605315,41.36409539559035,55.45005897823574
2023-01-18,48.570347027486605,41.44480031218702,55.931649388687745
2023-01-19,49.516406631387525,42.0087568284909,56.40346085255956
2023-01-20,49.08803537848882,41.68865986354808,55.899031150422715
2023-01-21,49.101802416029535,41.73807321255278,56.46769051676062
2023-01-22,49.671794503098184,42.443102802298725,56.66384518669986
2023-01-23,48.42875931808883,40.85476799145128,56.26502037581361
2023-01-24,48.25716791977102,41.17254447177881,55.49710942854887
2023-01-25,48.75148640017273,41.29027204780684,55.92237058123741
2023-01-26,49.69754600304192,42.344972078278744,56.77862857503595
2023-01-27,49.26917474911215,42.18059346825398,57.165382096674335
2023-01-28,49.282941785621176,42.07479650227036,57.00486071393329
2023-01-29,49.85293387165896,42.67255959962287,57.32790021102034
2023-01-30,48.609898685617644,41.097523869144425,55.88324343667928
2023-01-31,48.438307286269136,41.19080455632115,55.98202587831173
2023-02-01,48.93262576666724,42.10938695060183,56.68056304293289
2023-02-02,49.87868536953965,42.86898775833878,57.28011841271851
2023-02-03,49.45031411561199,42.13323705021498,57.4464278445999
2023-02-04,49.4640811521178,41.85879878726837,57.24951439722187
2023-02-05,50.03407323815608,43.02884808785241,57.26991724872606
2023-02-06,48.791038052114786,41.48182286111564,56.36374411163564
2023-02-07,48.61944665276691,40.77084575971027,56.07541091193973
2023-02-08,49.11376513316536,41.96044596824297,56.63121501022372
2023-02-09,50.059824736037385,42.76663823379312,57.615486442231045
2023-02-10,49.63145348210854,42.09113346667678,56.801448822336425
2023-02-11,49.64522051861736,42.43649646407344,57.711315939668445
2023-02-12,50.21521260465527,42.98163345870249,57.46318351461384
2023-02-13,48.972177418611935,41.32755421406217,56.70295890417523
2023-02-14,48.80058601926426,41.736798826749094,56.07540346224722
2023-02-15,49.29490449966556,41.57264833349972,57.31924730004501
2023-02-16,50.24096410253661,42.058605157113014,57.45833018242404
2023-02-17,49.81259284860673,42.75293940417137,57.084806465071495
2023-02-18,49.826359883485914,42.618592719938995,57.79877434407943
2023-02-19,50.39635196789037,42.9640954465949,57.82279711980419
2023-02-20,49.15331678021606,41.967371196028466,55.92155895792993
2023-02-21,48.98172537923875,42.03571594400456,56.1562983052991
2023-02-22,49.476043858008666,42.6164134899957,57.064935851100756
2023-02-23,50.42210345924836,42.9248226117422,58.32143399206285
2023-02-24,49.99373220368933,42.3346939483514,57.16439956240292
2023-02-25,50.007499238565515,42.45000008825019,57.600345569026466
2023-02-26,50.57749132297245,43.27336998944632,57.82471977859476
2023-02-27,49.3344561352965,41.79633552175943,56.573289825918756
2023-02-28,49.1628647343191,41.23320475949379,57.11812182928356
2023-03-01,49.65718321308974,42.11318289716847,56.98072373628498
2023-03-02,50.60324281433055,43.364757207974236,57.85992971656936
2023-03-03,50.17487155877049,42.462501878111745,57.72420000150269
2023-03-04,50.188638593648044,42.733195549132034,57.558291677043634
2023-03-05,50.758630678052526,43.443635215894346,58.16809658077015
2023-03-06,49.51559549038135,42.5820009084271,56.96206509941615
2023-03-07,49.344004089400585,41.534608327975775,56.9660079418145
2023-03-08,49.83832256817292,42.31846532880377,56.39482869647435
2023-03-09,50.78438216940975,43.116887473484,58.014935634483365
2023-03-10,50.35601091385165,42.71670434440111,57.785101025383575
2023-03-11,50.36977794872718,42.67341359256261,57.214664420874904
2023-03-12,50.93977003313261,43.50635541960489,58.506498586488306
2023-03-13,49.69673484521725,41.944410216470295,57.05306763913041
2023-03-14,49.52514344399325,42.65851897815227,57.25536074619707
2023-03-15,50.01946192252137,42.77033640058076,57.767004827205575
2023-03-16,50.9655215235151,43.98575224797712,58.43176325938989
2023-03-17,50.53715026771175,42.9944358640874,57.6349627503922
2023-03-18,50.55091730234444,43.56729388698186,57.69694305397784
2023-03-19,51.120909386505204,43.56358575296235,58.83144832530504
2023-03-20,49.87787419858755,42.43824176760495,56.940938005920714
2023-03-21,49.706282797364864,42.41176135457163,56.854388899141284
2023-03-22,50.20060127588936,43.02643621837661,57.385815072297056
2023-03-23,51.14666087688781,43.88092741863247,58.535341750990696
2023-03-24,50.71828962108179,42.94149854235817,57.473217542504514
2023-03-25,50.73205665571602,43.647473844520064,57.97214463256458
2023-03-26,51.302048739875794,43.8597415399489,58.338251871346166
2023-03-27,50.059013551963254,42.762845690589046,57.5104366783186
2023-03-28,49.88742215073648,42.70228074307425,57.89041072821336
2023-03-29,50.38174062926096,42.61194451923587,58.115065557098184
2023-03-30,51.32780023025759,43.86829396810867,58.86456193754835
2023-03-31,50.899428974455105,43.33827006309446,58.0139312420543
2023-04-01,50.913196009087606,43.17924422991799,58.377791261650884
2023-04-02,51.48318809324847,44.33162815029372,58.73000919196777
2023-04-03,50.24015290533388,43.17961542462329,57.921339965220774
2023-04-04,50.06856150410848,42.60409082465305,57.357161528590304
2023-04-05,50.562879983855375,43.81759909986992,58.1990706739255
2023-04-06,51.50893958607381,43.58398102181921,59.01987246209785
2023-04-07,51.08056833149186,44.018622076754184,58.294882266322915
2023-04-08,51.09433536734622,43.69553527134832,58.27037083945896
2023-04-09,51.66432745272887,44.18377435238718,59.62089140406258
2023-04-10,50.4212922660354,42.43931066030889,58.25560390965238
2023-04-11,50.249700866032015,43.201581076544805,57.85194795055118
2023-04-12,50.74401934578033,42.85263640261171,58.008476597266295
2023-04-13,51.69007894799585,44.40414807108729,59.330630147839365
2023-04-14,51.26170769341586,43.56710695253146,58.23950163716527
2023-04-15,51.27547472927159,43.773095808437915,58.77574528155896
2023-04-16,51.84546681465278,44.81661147266575,58.96151772870234
2023-04-17,50.60243162795867,43.03850527046917,58.1608105345921
2023-04-18,50.43084022795559,42.86959240285427,57.56687377525979
2023-04-19,50.92515870770531,43.64720168588251,57.83918507692864
2023-04-20,51.87121830992088,44.69169629677329,58.82088732152052
2023-04-21,51.4428470553382,44.333112187408815,59.03804738686925
2023-04-22,51.45661409119402,43.40138351657117,59.21714184280495
2023-04-23,52.02660617657777,43.70030158041673,58.87182004358385
2023-04-24,50.78357098988129,43.30344963260858,58.35823264449503
2023-04-25,50.61197958987952,43.346970899587404,57.65758716752663
2023-04-26,51.10629806962561,43.743906866916085,58.49825943173997
2023-04-27,52.052357671844405,45.014518608494626,58.99461049951327
2023-04-28,51.62398641726056,44.488306379982944,59.05077140271237
2023-04-29,51.637753455870076,44.18575774691168,58.79170151148161
2023-04-30,52.20774554400694,44.798980523841486,59.17010031411203
2023-05-01,50.96471036006243,43.02510225962444,58.511948781162936
2023-05-02,50.793118962814326,43.46851541913775,58.01426109411666
2023-05-03,51.28743744531368,44.205623437747406,58.49230138612131
2023-05-04,52.23349705028373,45.078752828477555,59.16866545347712
2023-05-05,51.80512579845454,44.41513592365741,59.265962035747414
2023-05-06,51.81889283706232,44.03487428010466,59.04154674013591
2023-05-07,52.38888492519819,44.47746620494861,59.19549593124253
2023-05-08,51.14584974125373,43.5988735273552,58.232941550164995
2023-05-09,50.974258344007,43.43383838097879,58.6301781383661
